user_id,city,age,reg_method,reg_date,ex_date,gender
13827,14,29,9,20130112,20180203,female
6618,13,19,4,20160313,20180106,female
7615,22,33,9,20060314,20170930,female
15535,13,48,9,20110402,20171003,female
17708,18,20,4,20160102,20161105,female
17849,15,41,9,20060330,20170910,male
714,15,37,3,20120725,20171005,male
9824,22,19,3,20160221,20171022,male
4579,14,27,9,20110224,20171026,female
23916,4,31,4,20151227,20170316,male
13958,14,40,3,20120711,20170921,female
8686,15,24,9,20120814,20171009,female
11445,22,20,4,20161231,20171004,male
6709,5,50,9,20120923,20171106,male
24514,14,21,9,20130731,20161119,male
15414,15,41,9,20100314,20170907,female
1010,4,33,7,20130514,20170908,female
22350,5,33,3,20141220,20171006,female
13517,22,24,4,20151017,20170410,female
3483,4,30,9,20090321,20171001,male
9381,4,30,9,20150719,20171006,male
23279,13,27,9,20050417,20160329,female
21992,15,37,9,20141231,20180527,female
13810,5,41,9,20101204,20180822,male
22786,1,0,3,20140116,20170611,female
10048,15,28,9,20111110,20170717,female
17555,1,34,3,20170107,20170110,male
19117,1,24,9,20060712,20170928,female
5523,5,32,9,20091021,20171002,male
19314,1,38,3,20150927,20150928,female
5,5,20,9,20161219,20170911,male
6548,13,33,9,20120524,20180310,female
10402,5,50,9,20140224,20171001,female
8475,5,30,3,20150502,20170910,male
6012,13,29,3,20111228,20170908,female
2536,11,23,9,20130403,20171002,male
12252,14,20,7,20150614,20180202,female
8944,6,30,9,20110626,20171002,female
705,21,15,4,20161020,20170709,male
15209,1,34,7,20130301,20171007,female
5986,5,23,4,20151125,20170708,female
9238,14,29,9,20090416,20170930,male
3586,12,28,9,20090919,20180723,male
6821,1,28,9,20070810,20170911,female
2112,15,39,4,20161011,20170714,male
15930,15,41,9,20080104,20180527,male
19767,15,33,9,20111006,20170920,female
12698,15,29,9,20100515,20180405,female
24463,4,23,3,20150910,20170912,female
15120,1,24,3,20150902,20170610,male
1943,19,30,3,20150815,20170910,male
8420,13,29,9,20140221,20170927,male
6513,5,31,9,20110610,20170923,male
4492,17,21,3,20150707,20170726,female
9748,18,27,3,20120618,20170919,male
3614,5,24,7,20131203,20170930,male
14665,22,31,9,20080226,20170120,male
13013,4,26,9,20150419,20170920,male
14848,6,29,9,20090414,20180623,male
60,22,22,9,20110306,20170913,male
4269,5,19,3,20140530,20171005,female
7858,15,32,9,20051202,20170710,female
1468,11,24,9,20090418,20170910,female
10784,13,31,9,20061122,20171201,female
23199,4,30,9,20110116,20160711,male
1047,6,25,9,20150522,20171001,female
22138,14,39,9,20120108,20191207,male
23425,22,24,9,20110319,20171024,male
8570,22,18,3,20170115,20170712,male
4714,14,30,9,20101022,20170926,female
7881,13,17,7,20120105,20170920,female
17677,6,27,9,20081015,20170930,male
8738,8,23,9,20090608,20170319,female
16883,22,30,9,20051218,20170916,female
3564,13,27,9,20080913,20171025,male
17506,4,34,9,20111003,20171002,female
14760,13,44,7,20160203,20171003,male
6295,13,30,9,20161004,20171121,male
7861,15,35,9,20080606,20170922,female
4065,4,18,4,20160607,20161010,male
4887,4,25,9,20091101,20170930,female
9002,14,34,7,20151213,20170912,male
6665,14,46,7,20111222,20171007,male
9514,6,24,4,20170120,20170222,female
11326,5,21,9,20120626,20170912,male
17760,13,32,9,20110508,20171004,female
712,13,19,4,20151014,20171209,male
24378,17,34,9,20111025,20170610,male
3941,14,38,7,20100303,20170923,male
5576,15,27,3,20150901,20170429,female
107,13,48,3,20130509,20180122,female
15107,6,19,3,20150215,20170909,male
23316,22,25,9,20141004,20170709,female
17196,22,26,4,20160624,20170107,male
20169,5,36,7,20101208,20170916,female
9732,13,32,7,20101213,20171005,female
10375,13,54,9,20100928,20170930,female
22110,5,41,9,20070424,20170930,female
10556,4,28,7,20151108,20170808,male
11162,13,31,9,20140920,20171117,male
9586,13,22,9,20160829,20180505,male
15782,13,29,7,20101221,20171003,male
13950,13,21,3,20130402,20171005,female
11225,14,30,9,20080305,20171001,male
24273,5,41,9,20101231,20170809,male
19495,15,17,4,20160301,20161118,male
4074,13,25,9,20041115,20170601,male
12812,14,20,9,20110321,20170930,male
20107,11,27,9,20081219,20170221,female
12669,13,44,7,20110924,20171007,female
23002,15,15,4,20161009,20170723,female
4302,15,30,7,20110430,20180404,female
22587,13,22,9,20081130,20170705,male
8621,9,26,9,20130302,20170922,male
10210,5,32,9,20080306,20170916,male
4155,13,20,9,20140307,20171020,female
14004,18,20,9,20120111,20170604,male
7610,4,23,9,20111002,20170306,male
4133,7,33,9,20081004,20170930,male
15438,15,31,9,20120916,20170905,male
22,13,34,9,20050703,20171027,male
10152,13,35,9,20100917,20170923,male
16328,18,0,3,20150215,20170917,female
4940,5,27,4,20151215,20170914,male
22757,15,20,9,20090322,20170122,female
18516,12,35,9,20130121,20180214,female
23493,6,16,3,20170119,20170122,male
2205,14,30,9,20110831,20171006,male
6402,13,22,3,20120810,20170909,male
15394,15,49,9,20060928,20170930,male
13973,6,24,9,20130319,20170925,female
24091,14,24,9,20110518,20171120,female
15883,13,45,3,20140130,20161206,male
5983,22,24,3,20140530,20171007,female
7334,22,19,7,20160916,20170915,male
12290,5,26,7,20110829,20171004,male
21436,13,52,9,20110412,20181011,male
14285,22,23,3,20141115,20170917,male
6454,13,24,3,20130412,20170918,female
11831,13,30,9,20101130,20170909,male
17456,13,23,9,20051205,20170709,male
